Sitio,Multiplicador,Demanda Contratada (kW)
Almacén General,80,181
Alpha,160,370
BHS,700,810
Comedor,80,113
FBO,80,174
PTAR,80,150
Sala Bravo,2800,2595
T1,,
T2,2800,3059
T3,2800,4600
T4,2800,4820
Hidro,,
HUX 01,140,350
HUX 02,700,763
Minatitlán,,
Veracruz,2800,1846
Mérida,,
Acapulco,,
CD Juárez,,
Chihuahua 2G,,
Chihuahua,,
Culiacán,,
Durango,140,201
Monterrey,,
Torreón,2800,920
Zacatecas,700,251
Zihuatanejo,1,1047
Reynosa,,
DISEKO,1200,900
Alysa,1200,735
Vitrogenera,1200,
RegioPet 1,350,900.00
RegioPet 2,160,470
RegioPet 3,160,500
Bocar,240,600
Telas Asturcón,,
IPASA,700,550
TOTIS,1200,1195
FM boca del río,140,225
Tejidos y texturizados,,532
Resideo,700,1266
Brom,3000,2346
Vesta,700,900
THOR,2800,3240
Park Royal Luna,1400,1489
Park Royal Sol,1400,800
LG,12000,16007
FM MERIDA,,
ABADIMEX,1200,1050
Park Royal Cozumel,700,990
Vidanta,,
Park Royal CBE,700,1400
Plastiexports 1,2800,2663
Plastiexports 3,2800,3201
Fisfiber,1200,727
Tuk,2800,3895
VALLARTA,,
BIDASOA,,
